"file_id","input_path","output_path","score","id1","id2","id3","id4","id5","id6","id7","id8","q1","q2","q3","q4","q5","q6","q7","q8","q9","q10","q11"
"MX-M3658N_20260731_162311_001.png",".jcode_runs\regression\weak\MX-M3658N_20260731_162311_001.pdf","outputs\weak_20260803_015434\CheckedOMRs\MX-M3658N_20260731_162311_001.png","0","2","3","2","5","4","5","1","9","ABCD","ABD","A","A","","D","C","C","CD","BCD","ABCD"
"MX-M3658N_20260731_162311_002.png",".jcode_runs\regression\weak\MX-M3658N_20260731_162311_002.pdf","outputs\weak_20260803_015434\CheckedOMRs\MX-M3658N_20260731_162311_002.png","0","2","4","3","5","1","0","7","8","B","ABD","A","D","A","C","C","C","BCD","AB","CD"
"MX-M3658N_20260731_162311_003.png",".jcode_runs\regression\weak\MX-M3658N_20260731_162311_003.pdf","outputs\weak_20260803_015434\CheckedOMRs\MX-M3658N_20260731_162311_003.png","0","4","3","4","5","9","7","1","8","B","ABD","A","D","A","C","D","C","BC","AB","BCD"
"MX-M3658N_20260731_162311_004.png",".jcode_runs\regression\weak\MX-M3658N_20260731_162311_004.pdf","outputs\weak_20260803_015434\CheckedOMRs\MX-M3658N_20260731_162311_004.png","0","2","7","3","5","4","8","","0","D","ABCD","D","D","A","C","C","C","BCD","CD","BCD"
"MX-M3658N_20260731_162311_005.png",".jcode_runs\regression\weak\MX-M3658N_20260731_162311_005.pdf","outputs\weak_20260803_015434\CheckedOMRs\MX-M3658N_20260731_162311_005.png","0","2","0","2","5","0","1","5","0","A","C","D","C","D","B","D","A","BCD","ABCD","CD"
"MX-M3658N_20260731_162311_006.png",".jcode_runs\regression\weak\MX-M3658N_20260731_162311_006.pdf","outputs\weak_20260803_015434\CheckedOMRs\MX-M3658N_20260731_162311_006.png","0","2","0","2","5","0","1","5","1","A","C","B","B","B","B","D","D","ABD","BD","BCD"
"MX-M3658N_20260731_162311_007.png",".jcode_runs\regression\weak\MX-M3658N_20260731_162311_007.pdf","outputs\weak_20260803_015434\CheckedOMRs\MX-M3658N_20260731_162311_007.png","0","2","0","2","5","0","1","5","2","A","C","C","B","C","B","B","D","ABCD","ABCD","ABCD"
"MX-M3658N_20260731_162311_008.png",".jcode_runs\regression\weak\MX-M3658N_20260731_162311_008.pdf","outputs\weak_20260803_015434\CheckedOMRs\MX-M3658N_20260731_162311_008.png","0","4","5","3","8","1","4","2","6","B","C","","B","A","C","C","C","BD","AC","AD"
"MX-M3658N_20260731_162311_009.png",".jcode_runs\regression\weak\MX-M3658N_20260731_162311_009.pdf","outputs\weak_20260803_015434\CheckedOMRs\MX-M3658N_20260731_162311_009.png","0","1","3","6","2","0","1","6","2","C","B","A","A","C","","C","D","ACD","AC","BD"
"MX-M3658N_20260731_162311_010.png",".jcode_runs\regression\weak\MX-M3658N_20260731_162311_010.pdf","outputs\weak_20260803_015434\CheckedOMRs\MX-M3658N_20260731_162311_010.png","0","3","2","7","5","4","7","4","8","A","A","B","C","B","B","A","D","ACD","AC","BD"
