"file_id","input_path","output_path","score","id1","id2","id3","id4","id5","id6","id7","id8","q1","q2","q3","q4","q5","q6","q7","q8","q9","q10","q11"
"MX-M3658N_20260803_172528_001.png","inputs\MX-M3658N_20260803_172528_001.pdf","outputs\new-inputs-20260803-172528\CheckedOMRs\MX-M3658N_20260803_172528_001.png","0","012345678","012345679","01234569","012345689","012345789","012346789","012346789","012356789","ABCD","ABCD","BCD","ABCD","ABCD","ABCD","AD","ABCD","BCD","ABCD","ABCD"
"MX-M3658N_20260803_172528_002.png","inputs\MX-M3658N_20260803_172528_002.pdf","outputs\new-inputs-20260803-172528\CheckedOMRs\MX-M3658N_20260803_172528_002.png","0","3","01","0","08","","","012345678","0123456789","","D","","","D","","CD","","","",""
"MX-M3658N_20260803_172528_003.png","inputs\MX-M3658N_20260803_172528_003.pdf","outputs\new-inputs-20260803-172528\CheckedOMRs\MX-M3658N_20260803_172528_003.png","0","","7","","","","1","4567","0","","","","CD","","","A","","","A","B"
"MX-M3658N_20260803_172528_004.png","inputs\MX-M3658N_20260803_172528_004.pdf","outputs\new-inputs-20260803-172528\CheckedOMRs\MX-M3658N_20260803_172528_004.png","0","0123456789","0123456789","0123456789","0123456789","0123456789","0123456789","0123456789","0123456789","ABC","ABCD","ABCD","ABCD","ABCD","ABD","ABCD","ABCD","ABCD","ABCD","ABCD"
"MX-M3658N_20260803_172528_005.png","inputs\MX-M3658N_20260803_172528_005.pdf","outputs\new-inputs-20260803-172528\CheckedOMRs\MX-M3658N_20260803_172528_005.png","0","0123456789","0123456789","23456789","9","","","","","ABCD","ABCD","ABCD","ABCD","A","ABCD","ABCD","ABCD","ABCD","ABCD","ABCD"
"MX-M3658N_20260803_172528_006.png","inputs\MX-M3658N_20260803_172528_006.pdf","outputs\new-inputs-20260803-172528\CheckedOMRs\MX-M3658N_20260803_172528_006.png","0","9","789","6789","456789","3456789","23456789","123456789","0123456789","","B","CD","ABCD","ABCD","","","BCD","","CD","ABCD"
"MX-M3658N_20260803_172528_007.png","inputs\MX-M3658N_20260803_172528_007.pdf","outputs\new-inputs-20260803-172528\CheckedOMRs\MX-M3658N_20260803_172528_007.png","0","67","23","7","4","","","","7","","","","B","","","","D","ABCD","ABCD","A"
"MX-M3658N_20260803_172528_008.png","inputs\MX-M3658N_20260803_172528_008.pdf","outputs\new-inputs-20260803-172528\CheckedOMRs\MX-M3658N_20260803_172528_008.png","0","0123456789","0123456789","0123456789","0123456789","0123456789","0123456789","0123456789","0123456789","ABCD","ABCD","ABCD","ABCD","ABCD","ABCD","ABCD","ABCD","ABCD","ABCD","ABCD"
"MX-M3658N_20260803_172528_009.png","inputs\MX-M3658N_20260803_172528_009.pdf","outputs\new-inputs-20260803-172528\CheckedOMRs\MX-M3658N_20260803_172528_009.png","0","3","","","","6","01","012345","012345678","","","","","","","","","A","",""
"MX-M3658N_20260803_172528_010.png","inputs\MX-M3658N_20260803_172528_010.pdf","outputs\new-inputs-20260803-172528\CheckedOMRs\MX-M3658N_20260803_172528_010.png","0","012345678","012345678","012345678","012345678","012345678","01234567","01234567","01234567","CD","D","ACD","","","","B","C","BCD","ABCD","ABCD"
"MX-M3658N_20260803_172528_011.png","inputs\MX-M3658N_20260803_172528_011.pdf","outputs\new-inputs-20260803-172528\CheckedOMRs\MX-M3658N_20260803_172528_011.png","0","0123456789","0123456789","0123456789","0123456789","0123456789","0123456789","0123456789","0123456789","","ABCD","ABCD","ABCD","ABCD","","ABCD","ABCD","D","ABCD","ABCD"
"MX-M3658N_20260803_172528_012.png","inputs\MX-M3658N_20260803_172528_012.pdf","outputs\new-inputs-20260803-172528\CheckedOMRs\MX-M3658N_20260803_172528_012.png","0","0123456789","0123456789","0123456789","0123456789","0123456789","0123456789","0123456789","0123456789","ABCD","ABCD","ABCD","ABCD","ABCD","ABCD","ABCD","ABCD","ABCD","ABCD","ABCD"
"MX-M3658N_20260803_172528_013.png","inputs\MX-M3658N_20260803_172528_013.pdf","outputs\new-inputs-20260803-172528\CheckedOMRs\MX-M3658N_20260803_172528_013.png","0","0123456789","0123456789","0123456789","0123456789","0123456789","0123456789","0123456789","0123456789","ABCD","ABCD","ABCD","ABCD","ABCD","ABCD","ABCD","ABCD","ABCD","ABCD","ABCD"
"MX-M3658N_20260803_172528_014.png","inputs\MX-M3658N_20260803_172528_014.pdf","outputs\new-inputs-20260803-172528\CheckedOMRs\MX-M3658N_20260803_172528_014.png","0","0123456789","0123456789","0123456789","0123456789","0123456789","0123456789","0123456789","0123456789","ABCD","ABCD","ABCD","ABCD","ABCD","ABCD","ABCD","ABCD","ABCD","ABCD","ABCD"
"MX-M3658N_20260803_172528_015.png","inputs\MX-M3658N_20260803_172528_015.pdf","outputs\new-inputs-20260803-172528\CheckedOMRs\MX-M3658N_20260803_172528_015.png","0","","4","","","","3","9","0123456789","ABCD","ABC","","","D","ABCD","ABCD","","ABCD","ABCD","ABCD"
"MX-M3658N_20260803_172528_016.png","inputs\MX-M3658N_20260803_172528_016.pdf","outputs\new-inputs-20260803-172528\CheckedOMRs\MX-M3658N_20260803_172528_016.png","0","9","459","45","34","3","9","89","6789","","","D","","ABCD","","","","","",""
"MX-M3658N_20260803_172528_017.png","inputs\MX-M3658N_20260803_172528_017.pdf","outputs\new-inputs-20260803-172528\CheckedOMRs\MX-M3658N_20260803_172528_017.png","0","5","6","","","01368","1","0","01","ABCD","ABCD","ABC","","","ABCD","ABCD","ABCD","ABCD","ABCD","ABCD"
"MX-M3658N_20260803_172528_018.png","inputs\MX-M3658N_20260803_172528_018.pdf","outputs\new-inputs-20260803-172528\CheckedOMRs\MX-M3658N_20260803_172528_018.png","0","0123456789","0123456789","0123456789","0123456789","0123456789","0123456789","0123456789","0123456789","AB","CD","ABCD","ABCD","ABCD","AB","CD","ABCD","AB","CD","ABCD"
"MX-M3658N_20260803_172528_019.png","inputs\MX-M3658N_20260803_172528_019.pdf","outputs\new-inputs-20260803-172528\CheckedOMRs\MX-M3658N_20260803_172528_019.png","0","0123456789","0123456789","0123456789","0123456789","0123456789","0123456789","0123456789","0123456789","ABCD","ABCD","ABCD","ABCD","ABCD","ABCD","ABCD","ABCD","ABCD","ABCD","ABCD"
"MX-M3658N_20260803_172528_020.png","inputs\MX-M3658N_20260803_172528_020.pdf","outputs\new-inputs-20260803-172528\CheckedOMRs\MX-M3658N_20260803_172528_020.png","0","","2","","2","9","","6","4","","","","","CD","","","","","",""
