"file_id","input_path","output_path","review_type","field","original_value","candidate","confidence","status","reason","evidence","score","legacy_rejection","ambiguity","density_gap","center_density","center_edge_ratio","threshold_vote_ratio","multiscale_stability"
"MX-M3658N_20260803_172528_001.png","inputs\MX-M3658N_20260803_172528_001.pdf","outputs\new-inputs-20260803-172528\CheckedOMRs\MX-M3658N_20260803_172528_001.png","SINGLE_CHOICE_CONFLICT_REVIEW","q1","ABCD","A","0.000","REVIEW","single_choice_conflict","gap,delta_from_blank","0.00","","1.000","0.000","0.000","0.000","0.000","0.000"
"MX-M3658N_20260803_172528_001.png","inputs\MX-M3658N_20260803_172528_001.pdf","outputs\new-inputs-20260803-172528\CheckedOMRs\MX-M3658N_20260803_172528_001.png","SINGLE_CHOICE_CONFLICT_REVIEW","q2","ABCD","A","0.062","REVIEW","single_choice_conflict","gap,delta_from_blank","0.31","","0.938","0.000","0.000","0.000","0.000","0.000"
"MX-M3658N_20260803_172528_001.png","inputs\MX-M3658N_20260803_172528_001.pdf","outputs\new-inputs-20260803-172528\CheckedOMRs\MX-M3658N_20260803_172528_001.png","SINGLE_CHOICE_CONFLICT_REVIEW","q3","BCD","B","0.192","REVIEW","single_choice_conflict","gap,delta_from_blank","0.96","","0.808","0.000","0.000","0.000","0.000","0.000"
"MX-M3658N_20260803_172528_001.png","inputs\MX-M3658N_20260803_172528_001.pdf","outputs\new-inputs-20260803-172528\CheckedOMRs\MX-M3658N_20260803_172528_001.png","SINGLE_CHOICE_CONFLICT_REVIEW","q4","ABCD","A","0.000","REVIEW","single_choice_conflict","gap,delta_from_blank","0.00","","1.000","0.000","0.000","0.000","0.000","0.000"
"MX-M3658N_20260803_172528_001.png","inputs\MX-M3658N_20260803_172528_001.pdf","outputs\new-inputs-20260803-172528\CheckedOMRs\MX-M3658N_20260803_172528_001.png","SINGLE_CHOICE_CONFLICT_REVIEW","q5","ABCD","A","0.000","REVIEW","single_choice_conflict","gap,delta_from_blank","0.00","","1.000","0.000","0.000","0.000","0.000","0.000"
"MX-M3658N_20260803_172528_001.png","inputs\MX-M3658N_20260803_172528_001.pdf","outputs\new-inputs-20260803-172528\CheckedOMRs\MX-M3658N_20260803_172528_001.png","SINGLE_CHOICE_CONFLICT_REVIEW","q6","ABCD","A","0.000","REVIEW","single_choice_conflict","gap,delta_from_blank","0.00","","1.000","0.000","0.000","0.000","0.000","0.000"
"MX-M3658N_20260803_172528_001.png","inputs\MX-M3658N_20260803_172528_001.pdf","outputs\new-inputs-20260803-172528\CheckedOMRs\MX-M3658N_20260803_172528_001.png","SINGLE_CHOICE_CONFLICT_REVIEW","q7","AD","A","0.450","REVIEW","single_choice_conflict","gap,delta_from_blank","2.25","","0.550","0.000","0.000","0.000","0.000","0.000"
"MX-M3658N_20260803_172528_001.png","inputs\MX-M3658N_20260803_172528_001.pdf","outputs\new-inputs-20260803-172528\CheckedOMRs\MX-M3658N_20260803_172528_001.png","SINGLE_CHOICE_CONFLICT_REVIEW","q8","ABCD","A","0.000","REVIEW","single_choice_conflict","gap,delta_from_blank","0.00","","1.000","0.000","0.000","0.000","0.000","0.000"
"MX-M3658N_20260803_172528_002.png","inputs\MX-M3658N_20260803_172528_002.pdf","outputs\new-inputs-20260803-172528\CheckedOMRs\MX-M3658N_20260803_172528_002.png","ID_REVIEW","id5","","6","0.711","LOW_CONFIDENCE","weak_identifier_candidate","gap,delta_from_blank,page_z,density_gap","3.56","adaptive_max_mean","0.289","0.223","0.368","1.497","0.000","0.000"
"MX-M3658N_20260803_172528_002.png","inputs\MX-M3658N_20260803_172528_002.pdf","outputs\new-inputs-20260803-172528\CheckedOMRs\MX-M3658N_20260803_172528_002.png","ID_REVIEW","id6","","0","0.005","LOW_CONFIDENCE","weak_identifier_candidate","gap,delta_from_blank,page_z,density_gap","0.02","adaptive_max_mean","0.995","0.000","0.000","0.000","0.000","0.000"
