"file_id","input_path","output_path","score","q1","q2","q3","q4","q5","q6","q7","q8","q9","q10","q11"
"MX-M3658N_20260803_180706_001.png","docs\assets\A3风格模板\正常填涂\MX-M3658N_20260803_180706_001.pdf","outputs\a3-style-normal-fill-template\CheckedOMRs\MX-M3658N_20260803_180706_001.png","0","D","C","D","B","B","C","B","D","BCD","ABC","ABCD"
"MX-M3658N_20260803_180706_002.png","docs\assets\A3风格模板\正常填涂\MX-M3658N_20260803_180706_002.pdf","outputs\a3-style-normal-fill-template\CheckedOMRs\MX-M3658N_20260803_180706_002.png","0","D","C","D","B","B","C","B","C","BD","BC","BCD"
"MX-M3658N_20260803_180706_003.png","docs\assets\A3风格模板\正常填涂\MX-M3658N_20260803_180706_003.pdf","outputs\a3-style-normal-fill-template\CheckedOMRs\MX-M3658N_20260803_180706_003.png","0","D","D","C","A","B","C","B","C","BC","CD","ABCD"
"MX-M3658N_20260803_180706_004.png","docs\assets\A3风格模板\正常填涂\MX-M3658N_20260803_180706_004.pdf","outputs\a3-style-normal-fill-template\CheckedOMRs\MX-M3658N_20260803_180706_004.png","0","C","B","D","D","A","C","A","D","BC","CD","ABCD"
"MX-M3658N_20260803_180706_005.png","docs\assets\A3风格模板\正常填涂\MX-M3658N_20260803_180706_005.pdf","outputs\a3-style-normal-fill-template\CheckedOMRs\MX-M3658N_20260803_180706_005.png","0","B","C","A","C","A","C","B","D","CD","ABC","BCD"
"MX-M3658N_20260803_180706_006.png","docs\assets\A3风格模板\正常填涂\MX-M3658N_20260803_180706_006.pdf","outputs\a3-style-normal-fill-template\CheckedOMRs\MX-M3658N_20260803_180706_006.png","0","A","B","B","A","D","C","B","D","AB","CD","BD"
"MX-M3658N_20260803_180706_007.png","docs\assets\A3风格模板\正常填涂\MX-M3658N_20260803_180706_007.pdf","outputs\a3-style-normal-fill-template\CheckedOMRs\MX-M3658N_20260803_180706_007.png","0","A","B","D","C","B","D","B","C","ABCD","ACD","BD"
"MX-M3658N_20260803_180706_008.png","docs\assets\A3风格模板\正常填涂\MX-M3658N_20260803_180706_008.pdf","outputs\a3-style-normal-fill-template\CheckedOMRs\MX-M3658N_20260803_180706_008.png","0","A","B","D","D","B","D","C","B","BCD","ACD","BC"
"MX-M3658N_20260803_180706_009.png","docs\assets\A3风格模板\正常填涂\MX-M3658N_20260803_180706_009.pdf","outputs\a3-style-normal-fill-template\CheckedOMRs\MX-M3658N_20260803_180706_009.png","0","A","B","D","C","D","C","C","A","ACD","BC","ABCD"
"MX-M3658N_20260803_180706_010.png","docs\assets\A3风格模板\正常填涂\MX-M3658N_20260803_180706_010.pdf","outputs\a3-style-normal-fill-template\CheckedOMRs\MX-M3658N_20260803_180706_010.png","0","A","C","B","D","B","D","B","D","BCD","AB","ABCD"
