"file_id","input_path","output_path","score","id1","id2","id3","id4","id5","id6","id7","id8","q1","q2","q3","q4","q5","q6","q7","q8","q9","q10","q11","q12","q13","q14","q15"
"MX-M3658N_20260804_145800_001.png","inputs\MX-M3658N_20260804_145800_001.pdf","outputs\weak-fill-20260804-145800-v3-template\CheckedOMRs\MX-M3658N_20260804_145800_001.png","0","2","0","","","1","0","0","0","A","B","C","D","C","D","A","B","AC","CD","B","ABC","BCD","ABCD","ABCD"
"MX-M3658N_20260804_145800_002.png","inputs\MX-M3658N_20260804_145800_002.pdf","outputs\weak-fill-20260804-145800-v3-template\CheckedOMRs\MX-M3658N_20260804_145800_002.png","0","","0","2","","1","0","0","1","A","C","B","D","B","D","B","D","AC","BD","BD","ACD","ABCD","ABCD","ABC"
"MX-M3658N_20260804_145800_003.png","inputs\MX-M3658N_20260804_145800_003.pdf","outputs\weak-fill-20260804-145800-v3-template\CheckedOMRs\MX-M3658N_20260804_145800_003.png","0","2","0","2","","1","0","0","2","A","C","B","C","C","B","C","D","AC","BC","BCD","ABC","BC","CD","ABCD"
"MX-M3658N_20260804_145800_004.png","inputs\MX-M3658N_20260804_145800_004.pdf","outputs\weak-fill-20260804-145800-v3-template\CheckedOMRs\MX-M3658N_20260804_145800_004.png","0","2","0","2","","1","0","0","3","A","C","B","D","C","C","A","C","ABC","BC","BD","ABC","BCD","AB","ABCD"
"MX-M3658N_20260804_145800_005.png","inputs\MX-M3658N_20260804_145800_005.pdf","outputs\weak-fill-20260804-145800-v3-template\CheckedOMRs\MX-M3658N_20260804_145800_005.png","0","","0","2","","1","0","0","4","A","B","B","A","C","D","A","C","AC","CD","BC","ACD","AC","BD","ABCD"
"MX-M3658N_20260804_145800_006.png","inputs\MX-M3658N_20260804_145800_006.pdf","outputs\weak-fill-20260804-145800-v3-template\CheckedOMRs\MX-M3658N_20260804_145800_006.png","0","","","","","1","2","2","3","B","C","C","D","A","C","C","B","ACD","AC","ACD","AC","AD","CD","AD"
"MX-M3658N_20260804_145800_007.png","inputs\MX-M3658N_20260804_145800_007.pdf","outputs\weak-fill-20260804-145800-v3-template\CheckedOMRs\MX-M3658N_20260804_145800_007.png","0","","0","","5","1","2","2","2","D","C","D","C","A","B","C","D","A","BCD","ABC","ACD","BD","AD","BD"
"MX-M3658N_20260804_145800_008.png","inputs\MX-M3658N_20260804_145800_008.pdf","outputs\weak-fill-20260804-145800-v3-template\CheckedOMRs\MX-M3658N_20260804_145800_008.png","0","","0","","","1","2","2","","C","D","B","C","B","C","B","D","BC","CD","BC","CD","ABC","BCD","ABCD"
"MX-M3658N_20260804_145800_009.png","inputs\MX-M3658N_20260804_145800_009.pdf","outputs\weak-fill-20260804-145800-v3-template\CheckedOMRs\MX-M3658N_20260804_145800_009.png","0","","0","","","1","2","2","4","C","D","A","B","A","C","B","D","BC","C","BCD","CD","BCD","ABC","C"
"MX-M3658N_20260804_145800_010.png","inputs\MX-M3658N_20260804_145800_010.pdf","outputs\weak-fill-20260804-145800-v3-template\CheckedOMRs\MX-M3658N_20260804_145800_010.png","0","","0","","","1","2","2","5","D","C","C","B","","C","C","","CD","BCD","AB","ABC","AC","ABCD","BCD"
